Username,ProfileLink,DisplayName,Races,Points,Team
5a6851bb4cae09d1fe3784e72be50b23,https://www.nitromath.com/racer/5a6851bb4cae09d1fe3784e72be50b23,Ambery,25,224,TOSONT
e5e1949252ada056006682ea11fc15cd,https://www.nitromath.com/racer/e5e1949252ada056006682ea11fc15cd,PeacefulCyanMite,31,222,MATHNL
lavishjinkertons,https://www.nitromath.com/racer/lavishjinkertons,Lavish Plays,86,219,TMS
ch12002396,https://www.nitromath.com/racer/ch12002396,-_C4L_-,48,208,J4UP
insaneplayer6789,https://www.nitromath.com/racer/insaneplayer6789,insaneplayer6789,37,188,FASZ
binothing,https://www.nitromath.com/racer/binothing,South Carolina,55,137,TMS
467e7a9933ca08c4db1671316c5f5d00,https://www.nitromath.com/racer/467e7a9933ca08c4db1671316c5f5d00,S1l3NT J13,3,0,T2WIN
jamaicantheblack,https://www.nitromath.com/racer/jamaicantheblack,jamaicantheblack,11,0,T2WIN
morganzook,https://www.nitromath.com/racer/morganzook,Farmgirl12,1,0,PIGGY
f0212698417a02cf0b3ba38ab187c6ea,https://www.nitromath.com/racer/f0212698417a02cf0b3ba38ab187c6ea,EnthusiasticJadeEel,7,0,T2WIN
1ndonlyjb,https://www.nitromath.com/racer/1ndonlyjb,1ndonlyjb,4,0,FASZ
c91fd315ce268a0079cd6e3609c92a07,https://www.nitromath.com/racer/c91fd315ce268a0079cd6e3609c92a07,DAltoN YOder,6,0,T2WIN
824fdbee900c0ed17667d01031ef12b2,https://www.nitromath.com/racer/824fdbee900c0ed17667d01031ef12b2,SUB2Realto_playz,9,0,T2WIN
55e52ce5d9e5d12c52530f9f72c2e737,https://www.nitromath.com/racer/55e52ce5d9e5d12c52530f9f72c2e737,Diidiyoil,2,0,T2WIN
040e639bb87a638340b25c0c9a3f608e,https://www.nitromath.com/racer/040e639bb87a638340b25c0c9a3f608e,DJ The Goat,2,0,T2WIN
b533bc432fb19a38729af159dfb7b24f,https://www.nitromath.com/racer/b533bc432fb19a38729af159dfb7b24f,Zelda botw guy,9,0,DORYA
6c86012972d7c64e4aecfd798a734050,https://www.nitromath.com/racer/6c86012972d7c64e4aecfd798a734050,Soccerstar,4,0,DORYA
7622fdae06340fe8c931952ea9d1f31b,https://www.nitromath.com/racer/7622fdae06340fe8c931952ea9d1f31b,Cheap pickle,6,0,X3
2078e59a18bb79fee08996ebc46d56cf,https://www.nitromath.com/racer/2078e59a18bb79fee08996ebc46d56cf,InventiveGreenCrawdad,18,0,T2WIN
0973398b645bc3b800546048968844f3,https://www.nitromath.com/racer/0973398b645bc3b800546048968844f3,good game,8,0,X3
jdixo6,https://www.nitromath.com/racer/jdixo6,jdixo6,4,0,T2WIN
dd0b325c70ee3056d7fd87839a07de9f,https://www.nitromath.com/racer/dd0b325c70ee3056d7fd87839a07de9f,Coolj_theman7YT,9,0,X3
